Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,0.380000,0.380000,0.380000,0.380000,0.380000,0
2019-09-30,0.380000,0.380000,0.380000,0.380000,0.380000,0
2019-10-01,0.346300,0.346300,0.346300,0.346300,0.346300,550
2019-10-02,0.345700,0.345700,0.345700,0.345700,0.345700,10000
2019-10-03,0.249500,0.249700,0.249500,0.249700,0.249700,18000
2019-10-04,0.249700,0.249700,0.249700,0.249700,0.249700,0
2019-10-07,0.249700,0.249700,0.249700,0.249700,0.249700,0
2019-10-08,0.249700,0.249700,0.249700,0.249700,0.249700,0
2019-10-09,0.249700,0.249700,0.249700,0.249700,0.249700,0
2019-10-10,0.249700,0.249700,0.249700,0.249700,0.249700,0
2019-10-11,0.280000,0.280000,0.280000,0.280000,0.280000,20024
2019-10-14,0.280000,0.280000,0.280000,0.280000,0.280000,0
2019-10-15,0.277700,0.277700,0.277700,0.277700,0.277700,200
2019-10-16,0.220000,0.220000,0.220000,0.220000,0.220000,200
2019-10-17,0.220000,0.220000,0.220000,0.220000,0.220000,0
2019-10-18,0.258000,0.272300,0.249550,0.251230,0.251230,66979
2019-10-21,0.273300,0.346600,0.273300,0.333700,0.333700,68980
2019-10-22,0.348400,0.348400,0.329700,0.343900,0.343900,97251
2019-10-23,0.345000,0.360900,0.328000,0.330000,0.330000,108414
2019-10-24,0.343500,0.380000,0.297500,0.362500,0.362500,46923
2019-10-25,0.395000,0.410500,0.362500,0.388420,0.388420,110246
2019-10-28,0.388000,0.402500,0.345000,0.380000,0.380000,88422
2019-10-29,0.390000,0.420000,0.345200,0.362530,0.362530,67217
2019-10-30,0.372620,0.380000,0.336650,0.360700,0.360700,111773
2019-10-31,0.368800,0.380000,0.314950,0.330000,0.330000,62972
2019-11-01,0.336400,0.375000,0.321300,0.336600,0.336600,33225
2019-11-04,0.309890,0.364810,0.279300,0.305400,0.305400,56528
2019-11-05,0.301900,0.310000,0.299900,0.306000,0.306000,14276
2019-11-06,0.323740,0.323740,0.300000,0.301500,0.301500,22724
2019-11-07,0.315000,0.315000,0.295000,0.295000,0.295000,7650
2019-11-08,0.263300,0.313400,0.263300,0.306000,0.306000,51632
2019-11-11,0.304510,0.304510,0.299000,0.300000,0.300000,3053
2019-11-12,0.295000,0.296900,0.270000,0.272600,0.272600,55683
2019-11-13,0.294500,0.294500,0.282500,0.284200,0.284200,26890
2019-11-14,0.296300,0.320000,0.289900,0.315090,0.315090,18442
2019-11-15,0.320000,0.320000,0.300440,0.320000,0.320000,2592
2019-11-18,0.304800,0.304900,0.269000,0.269000,0.269000,13687
2019-11-19,0.270000,0.297500,0.245970,0.280000,0.280000,46840
2019-11-20,0.282300,0.297900,0.282300,0.286600,0.286600,5700
2019-11-21,0.270450,0.285600,0.270450,0.285600,0.285600,380
2019-11-22,0.278850,0.286500,0.267300,0.278400,0.278400,8555
2019-11-25,0.274400,0.277900,0.252800,0.253360,0.253360,3541
2019-11-26,0.278000,0.278000,0.250000,0.250000,0.250000,29934
2019-11-27,0.258000,0.275100,0.244700,0.255900,0.255900,2940
2019-11-29,0.251800,0.251800,0.251800,0.251800,0.251800,3070
2019-12-02,0.285700,0.285700,0.285700,0.285700,0.285700,1785
2019-12-03,0.300000,0.304500,0.300000,0.304500,0.304500,2000
2019-12-04,0.304700,0.310000,0.283900,0.283900,0.283900,20015
2019-12-05,0.273000,0.288350,0.246800,0.247000,0.247000,38484
2019-12-06,0.243400,0.249200,0.233850,0.243900,0.243900,13946
2019-12-09,0.218800,0.255600,0.218800,0.237800,0.237800,23543
2019-12-10,0.245000,0.253400,0.245000,0.247500,0.247500,28215
2019-12-11,0.245600,0.257800,0.240400,0.254600,0.254600,27944
2019-12-12,0.254400,0.254400,0.252150,0.254300,0.254300,5955
2019-12-13,0.256550,0.261410,0.256550,0.260970,0.260970,1110
2019-12-16,0.289700,0.300000,0.282990,0.293900,0.293900,17375
2019-12-17,0.292600,0.296200,0.277000,0.277000,0.277000,10173
2019-12-18,0.279950,0.283940,0.270300,0.282200,0.282200,17089
2019-12-19,0.282100,0.342710,0.278350,0.337200,0.337200,308708
2019-12-20,0.380000,0.380000,0.313310,0.331250,0.331250,293169
2019-12-23,0.344200,0.356900,0.311200,0.328900,0.328900,122545
2019-12-24,0.459800,0.459800,0.323160,0.345000,0.345000,80388
2019-12-26,0.342500,0.445030,0.330000,0.384900,0.384900,110942
2019-12-27,0.361920,0.368250,0.348000,0.350000,0.350000,96275
2019-12-30,0.363480,0.400830,0.349000,0.374000,0.374000,148981
2019-12-31,0.385300,0.395400,0.364100,0.395400,0.395400,101125
2020-01-02,0.449500,0.449500,0.375000,0.387510,0.387510,106543
2020-01-03,0.388650,0.404000,0.350000,0.361980,0.361980,111291
2020-01-06,0.355000,0.394900,0.355000,0.387300,0.387300,74142
2020-01-07,0.388200,0.420390,0.374800,0.390200,0.390200,162602
2020-01-08,0.347900,0.430900,0.347900,0.350000,0.350000,81200
2020-01-09,0.371000,0.373970,0.350000,0.369900,0.369900,42759
2020-01-10,0.371200,0.371200,0.360000,0.361800,0.361800,43005
2020-01-13,0.367840,0.381280,0.357600,0.361000,0.361000,32241
2020-01-14,0.378540,0.385000,0.360000,0.380000,0.380000,149807
2020-01-15,0.379200,0.436230,0.366500,0.370000,0.370000,46957
2020-01-16,0.379750,0.428500,0.379750,0.400000,0.400000,113434
2020-01-17,0.402190,0.429470,0.379400,0.402900,0.402900,67088
2020-01-21,0.470500,0.470500,0.380000,0.423800,0.423800,72734
2020-01-22,0.417590,0.425400,0.400100,0.400100,0.400100,43463
2020-01-23,0.421560,0.530000,0.417300,0.491500,0.491500,431165
2020-01-24,0.604550,0.604550,0.425000,0.464940,0.464940,279186
2020-01-27,0.551640,0.551640,0.422500,0.480000,0.480000,153911
2020-01-28,0.550000,0.587300,0.489000,0.555770,0.555770,431885
2020-01-29,0.557900,0.622760,0.530000,0.550000,0.550000,158967
2020-01-30,0.600000,0.620090,0.525600,0.532300,0.532300,183025
2020-01-31,0.530000,0.557000,0.490000,0.509940,0.509940,154371
2020-02-03,0.463200,0.515000,0.463200,0.472000,0.472000,237419
2020-02-04,0.532250,0.592330,0.460000,0.500000,0.500000,170094
2020-02-05,0.618900,0.618900,0.501890,0.510000,0.510000,105392
2020-02-06,0.580000,0.580000,0.500100,0.505500,0.505500,104297
2020-02-07,0.600000,0.600000,0.498500,0.516200,0.516200,87497
2020-02-10,0.523690,0.537410,0.468740,0.500000,0.500000,72377
2020-02-11,0.507730,0.514500,0.465000,0.484500,0.484500,125252
2020-02-12,0.480000,0.515000,0.470000,0.470000,0.470000,98632
2020-02-13,0.470000,0.497970,0.450000,0.482150,0.482150,191929
2020-02-14,0.583500,0.583500,0.500000,0.524570,0.524570,154194
2020-02-18,0.524570,0.524570,0.524570,0.524570,0.524570,0
2020-02-19,0.600000,0.671390,0.550000,0.610000,0.610000,363189
2020-02-20,0.850000,0.850000,0.600000,0.681480,0.681480,394586
2020-02-21,0.935000,0.935000,0.700000,0.707500,0.707500,228361
2020-02-24,0.733500,0.795900,0.657220,0.726400,0.726400,327665
2020-02-25,0.862500,0.935000,0.731170,0.829500,0.829500,464147
2020-02-26,1.030000,1.030000,0.800000,0.913600,0.913600,474545
2020-02-27,0.880450,1.010000,0.710000,0.850000,0.850000,577545
2020-02-28,0.850000,0.850000,0.700100,0.733500,0.733500,363703
2020-03-02,0.767300,0.800000,0.650000,0.780000,0.780000,385021
2020-03-03,0.780000,0.925300,0.770000,0.850000,0.850000,575731
2020-03-04,0.894600,1.010000,0.826400,0.856400,0.856400,395699
2020-03-05,0.824000,0.890000,0.748780,0.800000,0.800000,221709
2020-03-06,0.750000,0.800000,0.725200,0.800000,0.800000,314478
2020-03-09,0.524800,0.811300,0.524800,0.600000,0.600000,483998
2020-03-10,0.643800,0.714900,0.580100,0.637000,0.637000,252915
2020-03-11,0.650000,0.650000,0.527040,0.589700,0.589700,282370
2020-03-12,0.584950,0.589700,0.460000,0.465000,0.465000,604659
2020-03-13,0.460000,0.574800,0.440600,0.490100,0.490100,432564
2020-03-16,0.500500,0.500500,0.350000,0.418300,0.418300,595545
2020-03-17,0.440000,0.440000,0.350100,0.425700,0.425700,223841
2020-03-18,0.360100,0.440000,0.329000,0.337500,0.337500,187786
2020-03-19,0.330000,0.484000,0.330000,0.442400,0.442400,395007
2020-03-20,0.430000,0.517000,0.430000,0.476100,0.476100,257205
2020-03-23,0.434040,0.480000,0.372700,0.480000,0.480000,233725
2020-03-24,0.478500,0.550000,0.478500,0.509900,0.509900,124367
2020-03-25,0.515000,0.548000,0.474300,0.481000,0.481000,283205
2020-03-26,0.516400,0.678900,0.500000,0.570000,0.570000,521566
2020-03-27,0.666000,0.666000,0.583200,0.614600,0.614600,281738
2020-03-30,0.770000,0.770000,0.574800,0.604200,0.604200,146770
2020-03-31,0.643500,0.643500,0.580000,0.603600,0.603600,63328
2020-04-01,0.600000,0.629900,0.569300,0.579800,0.579800,99441
2020-04-02,0.606290,0.618500,0.572200,0.618500,0.618500,49009
2020-04-03,0.640000,0.640000,0.590000,0.620000,0.620000,99071
2020-04-06,0.565950,0.712000,0.565950,0.635000,0.635000,131755
2020-04-07,0.647550,0.680000,0.635000,0.635000,0.635000,95634
2020-04-08,0.700000,0.700000,0.650000,0.675000,0.675000,178668
2020-04-09,0.684040,0.780000,0.683200,0.704000,0.704000,173496
2020-04-13,0.700000,0.725250,0.680000,0.710000,0.710000,146854
2020-04-14,0.700600,0.829000,0.700000,0.810900,0.810900,227659
2020-04-15,0.800000,0.840000,0.760100,0.792100,0.792100,206655
2020-04-16,0.850000,0.900000,0.770000,0.861540,0.861540,193766
2020-04-17,0.778250,0.940000,0.778250,0.889260,0.889260,366218
2020-04-20,0.870800,0.895000,0.830000,0.854600,0.854600,99176
